Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00401263,9,"Wednesday, January 30, 2013 17:47:48 UTC",38.4513,-119.3088,1.2,6.60, 7,"Central California"
ci,15279033,0,"Wednesday, January 30, 2013 17:30:36 UTC",34.1553,-116.4342,1.4,9.80,47,"Southern California"
ak,10647157,2,"Wednesday, January 30, 2013 16:52:13 UTC",62.0327,-145.1997,2.4,17.90,14,"Central Alaska"
nc,71931571,0,"Wednesday, January 30, 2013 16:36:59 UTC",38.8425,-122.8315,1.1,2.40,19,"Northern California"
hv,60461226,4,"Wednesday, January 30, 2013 15:54:25 UTC",19.9782,-155.4143,1.7,8.00,19,"Island of Hawaii, Hawaii"
ak,10647140,1,"Wednesday, January 30, 2013 15:42:36 UTC",61.4802,-149.8571,2.3,42.90,22,"Southern Alaska"
nc,71931541,1,"Wednesday, January 30, 2013 15:38:07 UTC",38.8325,-122.7562,2.3,0.60,38,"Northern California"
us,2013laap,6,"Wednesday, January 30, 2013 15:34:23 UTC",10.5744,126.9572,4.7,37.30,55,"Philippine Islands region"
nc,71931506,1,"Wednesday, January 30, 2013 15:20:16 UTC",38.8237,-122.7608,1.6,1.00,27,"Northern California"
ak,10647129,1,"Wednesday, January 30, 2013 15:18:48 UTC",61.7208,-148.2073,1.3,24.60, 4,"Southern Alaska"
nc,71931501,0,"Wednesday, January 30, 2013 15:18:33 UTC",38.8263,-122.7615,1.1,1.10,14,"Northern California"
ci,15279009,0,"Wednesday, January 30, 2013 15:14:00 UTC",34.1758,-117.2773,2.0,3.70,91,"Greater Los Angeles area, California"
us,2013laan,8,"Wednesday, January 30, 2013 15:05:14 UTC",62.4757,-124.4825,4.2,5.00,77,"Northwest Territories, Canada"
nc,71931481,0,"Wednesday, January 30, 2013 14:56:03 UTC",36.6815,-121.3088,1.5,4.70,11,"Central California"
nc,71931476,1,"Wednesday, January 30, 2013 14:51:26 UTC",36.6830,-121.3098,2.4,4.50,43,"Central California"
pr,13030001,0,"Wednesday, January 30, 2013 13:54:41 UTC",17.8591,-66.1946,2.2,8.00, 9,"Puerto Rico region"
nc,71931426,1,"Wednesday, January 30, 2013 13:31:32 UTC",38.8413,-122.8378,1.1,1.90,24,"Northern California"
us,2013laam,2,"Wednesday, January 30, 2013 13:25:32 UTC",-52.1992,-5.4029,4.9,10.00,15,"southern Mid-Atlantic Ridge"
us,c000eybx,8,"Wednesday, January 30, 2013 12:57:50 UTC",10.4223,126.9224,5.0,35.00,107,"Philippine Islands region"
ak,10647108,1,"Wednesday, January 30, 2013 12:38:44 UTC",61.0355,-150.5322,1.9,22.90,10,"Southern Alaska"
nc,71931411,0,"Wednesday, January 30, 2013 11:57:35 UTC",36.9438,-121.5918,1.2,0.90,11,"Northern California"
ak,10647105,1,"Wednesday, January 30, 2013 11:38:31 UTC",63.1564,-151.4147,1.7,7.70, 8,"Central Alaska"
ak,10647098,1,"Wednesday, January 30, 2013 11:06:33 UTC",63.2326,-148.3682,2.1,76.80,25,"Central Alaska"
ak,10647096,1,"Wednesday, January 30, 2013 10:44:20 UTC",61.1582,-146.9245,2.0,8.70, 5,"Southern Alaska"
nc,71931391,1,"Wednesday, January 30, 2013 10:43:26 UTC",38.8248,-122.8037,2.5,3.10,56,"Northern California"
ak,10647092,1,"Wednesday, January 30, 2013 10:39:09 UTC",57.8792,-153.4440,2.5,15.30,13,"Kodiak Island region, Alaska"
nc,71931376,0,"Wednesday, January 30, 2013 10:33:21 UTC",37.8880,-122.2228,1.2,8.00,15,"San Francisco Bay area, California"
nc,71931371,1,"Wednesday, January 30, 2013 10:30:33 UTC",38.8402,-122.8392,1.2,2.60,25,"Northern California"
ci,15279001,0,"Wednesday, January 30, 2013 10:25:38 UTC",32.9540,-116.3645,1.5,12.20,56,"Southern California"
nc,71931366,1,"Wednesday, January 30, 2013 10:20:19 UTC",38.7573,-122.7243,1.9,2.50,34,"Northern California"
nc,71931356,0,"Wednesday, January 30, 2013 09:52:02 UTC",37.9017,-122.2150,1.0,8.70,12,"San Francisco Bay area, California"
ak,10647077,1,"Wednesday, January 30, 2013 09:46:37 UTC",61.0376,-149.8839,2.1,100.00,10,"Southern Alaska"
us,c000ey8l,9,"Wednesday, January 30, 2013 09:33:05 UTC",-26.1595,-69.0427,4.8,24.70,138,"Atacama, Chile"
us,c000ey8j,8,"Wednesday, January 30, 2013 09:27:05 UTC",32.8470,94.7063,5.2,37.10,140,"Xizang-Qinghai border region"
ak,10647072,1,"Wednesday, January 30, 2013 09:04:59 UTC",63.0943,-151.4935,1.5,9.10, 6,"Central Alaska"
nc,71931341,0,"Wednesday, January 30, 2013 08:58:20 UTC",36.4647,-121.0445,1.6,5.30,16,"Central California"
nc,71931331,1,"Wednesday, January 30, 2013 08:54:20 UTC",38.8210,-122.8092,1.2,3.40,28,"Northern California"
nc,71931321,1,"Wednesday, January 30, 2013 07:33:43 UTC",38.8385,-122.8387,1.4,2.60,26,"Northern California"
ci,15278977,0,"Wednesday, January 30, 2013 07:28:05 UTC",34.2865,-116.6902,1.0,9.00,28,"Southern California"
nc,71931296,1,"Wednesday, January 30, 2013 07:12:57 UTC",38.8210,-122.8083,2.0,3.10,39,"Northern California"
nc,71931291,1,"Wednesday, January 30, 2013 07:09:36 UTC",38.8215,-122.8070,2.1,3.00,40,"Northern California"
ak,10647046,1,"Wednesday, January 30, 2013 06:12:45 UTC",61.6931,-150.3957,2.9,32.70,50,"Southern Alaska"
ak,10647041,1,"Wednesday, January 30, 2013 05:52:23 UTC",63.4764,-145.6370,1.2,19.20, 8,"Central Alaska"
ci,15278969,0,"Wednesday, January 30, 2013 05:47:35 UTC",33.7157,-116.8203,1.0,18.40,32,"Southern California"
nc,71931241,0,"Wednesday, January 30, 2013 05:21:35 UTC",38.7873,-122.7350,1.2,2.30,17,"Northern California"
ci,15278961,0,"Wednesday, January 30, 2013 04:49:27 UTC",33.0230,-116.4372,1.3,5.90,52,"Southern California"
ak,10647024,1,"Wednesday, January 30, 2013 04:36:37 UTC",58.1358,-153.7266,3.2,88.30,26,"Kodiak Island region, Alaska"
ci,15278953,0,"Wednesday, January 30, 2013 04:34:04 UTC",33.0218,-116.4357,1.6,5.10,69,"Southern California"
ci,15278945,0,"Wednesday, January 30, 2013 04:23:08 UTC",32.1588,-116.0582,2.0,4.60,16,"Baja California, Mexico"
ci,15278937,0,"Wednesday, January 30, 2013 04:22:31 UTC",32.1810,-116.0415,2.1,8.60,18,"Baja California, Mexico"
ci,15278929,0,"Wednesday, January 30, 2013 04:21:22 UTC",32.1748,-116.0528,3.1,1.20,41,"Baja California, Mexico"
uw,60498422,1,"Wednesday, January 30, 2013 04:16:31 UTC",45.4690,-122.8428,1.4,27.50,17,"Portland urban area, Oregon"
ci,15278897,0,"Wednesday, January 30, 2013 03:19:15 UTC",33.1062,-115.6265,1.7,19.30,14,"Southern California"
us,c000ey2g,7,"Wednesday, January 30, 2013 03:14:28 UTC",43.5664,-127.5984,5.3,10.20,282,"off the coast of Oregon"
ak,10647003,1,"Wednesday, January 30, 2013 03:06:46 UTC",61.4568,-148.2773,2.2,56.30, 9,"Southern Alaska"
nc,71931211,0,"Wednesday, January 30, 2013 03:03:42 UTC",35.4888,-120.7757,1.6,9.70, 7,"Central California"
ak,10646996,1,"Wednesday, January 30, 2013 02:55:53 UTC",63.4919,-150.8409,1.9,5.30,10,"Central Alaska"
ak,10646990,1,"Wednesday, January 30, 2013 02:49:50 UTC",59.6559,-153.4941,2.9,169.80,29,"Southern Alaska"
ak,10646984,1,"Wednesday, January 30, 2013 02:37:01 UTC",64.7134,-149.0247,1.6,0.00,11,"Central Alaska"
us,c000ey1i,8,"Wednesday, January 30, 2013 02:32:19 UTC",10.5577,126.6844,5.4,46.00,102,"Philippine Islands region"
ak,10646979,1,"Wednesday, January 30, 2013 01:52:50 UTC",61.1152,-152.2229,1.4,17.40, 8,"Southern Alaska"
ak,10646971,1,"Wednesday, January 30, 2013 01:41:23 UTC",61.8575,-150.8335,2.1,58.80,15,"Southern Alaska"
pr,13030000,0,"Wednesday, January 30, 2013 00:59:26 UTC",18.0393,-67.1741,1.6,17.00, 3,"Puerto Rico"
us,2013laac,7,"Wednesday, January 30, 2013 00:56:31 UTC",52.1213,-174.3927,4.6,75.80,178,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10646933,2,"Wednesday, January 30, 2013 00:53:51 UTC",63.9184,-148.8177,2.0,10.00,11,"Central Alaska"
ak,10646924,1,"Wednesday, January 30, 2013 00:43:32 UTC",60.6540,-152.1012,2.5,112.20,23,"Southern Alaska"
nn,00401230,9,"Wednesday, January 30, 2013 00:22:27 UTC",37.1189,-117.1090,1.7,6.60,15,"Nevada"
ak,10646913,1,"Wednesday, January 30, 2013 00:13:58 UTC",65.0170,-147.4439,2.0,3.40,11,"northern Alaska"
uu,60011812,4,"Tuesday, January 29, 2013 23:10:29 UTC",38.8115,-111.3280,2.0,1.50, 5,"Utah"
pr,13029008,0,"Tuesday, January 29, 2013 23:09:50 UTC",17.7875,-68.6013,3.4,36.00,13,"Dominican Republic region"
ci,15278841,0,"Tuesday, January 29, 2013 22:54:05 UTC",33.6980,-116.8127,1.4,18.60,56,"Southern California"
ak,10646860,1,"Tuesday, January 29, 2013 22:20:04 UTC",63.0146,-149.1173,2.3,73.90,31,"Central Alaska"
ak,10646854,1,"Tuesday, January 29, 2013 22:17:48 UTC",63.5889,-147.7898,2.7,0.00,41,"Central Alaska"
ci,15278833,0,"Tuesday, January 29, 2013 22:13:07 UTC",35.7158,-118.0963,1.6,0.00,11,"Central California"
nc,71931101,1,"Tuesday, January 29, 2013 21:41:05 UTC",38.8385,-122.8292,1.8,2.50,32,"Northern California"
nc,71931091,0,"Tuesday, January 29, 2013 21:35:32 UTC",38.8393,-122.8315,1.2,2.40,20,"Northern California"
nc,71931086,1,"Tuesday, January 29, 2013 21:35:17 UTC",38.8392,-122.8290,1.7,2.40,30,"Northern California"
nc,71931076,2,"Tuesday, January 29, 2013 21:23:24 UTC",36.3118,-120.8548,1.2,8.30,11,"Central California"
ci,15278809,0,"Tuesday, January 29, 2013 20:59:57 UTC",33.6762,-116.7780,1.0,29.90,14,"Southern California"
ci,15278801,2,"Tuesday, January 29, 2013 20:40:52 UTC",33.8498,-117.4945,1.3,0.00,25,"Greater Los Angeles area, California"
ci,15278793,2,"Tuesday, January 29, 2013 20:28:49 UTC",37.1135,-117.0993,2.5,0.70,14,"Nevada"
nc,71931071,3,"Tuesday, January 29, 2013 20:20:39 UTC",38.8245,-122.7933,2.0,3.40,67,"Northern California"
nm,012913c,A,"Tuesday, January 29, 2013 20:20:14 UTC",36.1056,-89.7535,2.2,8.10,20,"southeastern Missouri"
ci,15278785,0,"Tuesday, January 29, 2013 19:59:54 UTC",32.6250,-115.7480,1.7,5.20,13,"Baja California, Mexico"
uu,60011772,4,"Tuesday, January 29, 2013 19:56:50 UTC",41.1125,-111.4965,1.3,21.50,20,"Utah"
nc,71931016,1,"Tuesday, January 29, 2013 19:36:53 UTC",38.8237,-122.7932,1.1,3.10,25,"Northern California"
us,c000expf,6,"Tuesday, January 29, 2013 19:30:33 UTC",-11.2056,165.3554,5.1,24.70,60,"Santa Cruz Islands"
ci,15278761,0,"Tuesday, January 29, 2013 19:02:01 UTC",33.2792,-116.7847,2.3,12.00,117,"Southern California"
nc,71930991,1,"Tuesday, January 29, 2013 18:36:41 UTC",38.8212,-122.8303,1.6,2.60,31,"Northern California"
ci,15278753,0,"Tuesday, January 29, 2013 18:30:51 UTC",33.7818,-116.1623,1.8,7.50,72,"Southern California"
nc,71930966,2,"Tuesday, January 29, 2013 17:37:30 UTC",40.5607,-121.5455,1.0,4.00,10,"Lassen Peak area, California"
pr,13029007,0,"Tuesday, January 29, 2013 17:36:46 UTC",18.9920,-64.8965,2.7,12.00, 4,"Virgin Islands region"
nc,71930956,1,"Tuesday, January 29, 2013 17:35:01 UTC",38.8122,-122.7915,1.2,3.10,27,"Northern California"
nc,71930951,1,"Tuesday, January 29, 2013 17:32:54 UTC",38.8245,-122.7617,1.9,1.10,30,"Northern California"
nc,71930946,1,"Tuesday, January 29, 2013 17:10:48 UTC",38.8248,-122.7937,1.0,3.50,24,"Northern California"
pr,13029006,0,"Tuesday, January 29, 2013 16:59:40 UTC",19.0207,-64.9128,2.7,42.00, 4,"Virgin Islands region"
ak,10646537,2,"Tuesday, January 29, 2013 16:58:26 UTC",64.7858,-147.3424,2.5,10.00,16,"Central Alaska"
nc,71930916,1,"Tuesday, January 29, 2013 16:48:01 UTC",38.8108,-122.7932,1.8,3.30,35,"Northern California"
nc,71930906,1,"Tuesday, January 29, 2013 16:47:27 UTC",38.8152,-122.7927,1.6,3.60,30,"Northern California"
nc,71930901,1,"Tuesday, January 29, 2013 16:45:28 UTC",38.7842,-122.7987,2.9,0.00,33,"Northern California"
nc,71930896,3,"Tuesday, January 29, 2013 16:45:25 UTC",38.8222,-122.7930,3.0,3.30,40,"Northern California"
nc,71930891,2,"Tuesday, January 29, 2013 16:19:06 UTC",35.5837,-120.7783,1.0,7.80,17,"Central California"
uu,60011742,2,"Tuesday, January 29, 2013 14:59:52 UTC",38.9788,-112.0740,1.3,12.40, 6,"Utah"
nc,71930886,1,"Tuesday, January 29, 2013 14:57:08 UTC",38.7905,-122.8003,1.1,3.90,26,"Northern California"
nc,71930881,1,"Tuesday, January 29, 2013 14:46:53 UTC",38.8075,-122.8032,1.4,1.30,27,"Northern California"
hv,60460891,2,"Tuesday, January 29, 2013 14:43:55 UTC",19.4155,-155.3255,2.2,4.90,16,"Island of Hawaii, Hawaii"
ak,10646502,1,"Tuesday, January 29, 2013 14:26:07 UTC",60.0462,-147.6401,2.5,3.70,14,"Southern Alaska"
ci,15278737,2,"Tuesday, January 29, 2013 14:05:01 UTC",33.9182,-118.5768,1.7,10.00,13,"Santa Monica Bay, California"
us,2013kzan,4,"Tuesday, January 29, 2013 13:58:48 UTC",-4.0044,143.0199,4.3,10.00,12,"New Guinea, Papua New Guinea"
ak,10646491,2,"Tuesday, January 29, 2013 13:38:48 UTC",64.7795,-147.3455,2.9,10.00,21,"Central Alaska"
nm,012913a,B,"Tuesday, January 29, 2013 13:19:01 UTC",36.1396,-90.8820,2.1,9.70,16,"Arkansas"
us,2013kzal,6,"Tuesday, January 29, 2013 13:17:21 UTC",42.6581,144.0562,4.8,48.50,159,"Hokkaido, Japan region"
nc,71930861,0,"Tuesday, January 29, 2013 12:59:00 UTC",38.8105,-122.8168,1.0,2.90,20,"Northern California"
us,c000exeh,5,"Tuesday, January 29, 2013 12:31:33 UTC",31.8694,-94.3948,2.8,5.10,29,"eastern Texas"
hv,60460541,1,"Tuesday, January 29, 2013 12:24:07 UTC",19.4142,-155.3203,1.9,4.30,19,"Island of Hawaii, Hawaii"
hv,60460506,2,"Tuesday, January 29, 2013 12:12:46 UTC",19.4147,-155.3218,1.9,3.60,10,"Island of Hawaii, Hawaii"
pr,13029005,0,"Tuesday, January 29, 2013 12:00:54 UTC",19.6567,-66.4000,3.2,33.00, 6,"Puerto Rico region"
nc,71930851,0,"Tuesday, January 29, 2013 11:59:23 UTC",37.6240,-119.0237,1.2,3.80,11,"Long Valley area, California"
nc,71930846,1,"Tuesday, January 29, 2013 11:58:46 UTC",38.8300,-122.8533,1.4,2.60,25,"Northern California"
hv,60460396,2,"Tuesday, January 29, 2013 11:44:01 UTC",19.4142,-155.3172,2.3,4.50,27,"Island of Hawaii, Hawaii"
ci,15278721,0,"Tuesday, January 29, 2013 11:33:13 UTC",33.9790,-117.1708,1.4,15.60,74,"Greater Los Angeles area, California"
us,c000exdk,9,"Tuesday, January 29, 2013 10:47:56 UTC",-15.7055,-70.0925,4.1,218.90,30,"southern Peru"
ak,10646470,1,"Tuesday, January 29, 2013 10:41:32 UTC",61.0396,-150.3727,1.8,20.80, 8,"Southern Alaska"
ak,10646466,1,"Tuesday, January 29, 2013 10:33:08 UTC",61.3718,-146.6977,1.9,27.10,12,"Southern Alaska"
pr,13029004,0,"Tuesday, January 29, 2013 10:30:59 UTC",19.0625,-64.4900,3.2,125.00, 7,"Virgin Islands region"
uw,60498117,1,"Tuesday, January 29, 2013 10:21:25 UTC",47.5293,-123.5185,1.1,37.90,14,"Olympic Peninsula, Washington"
uw,60025908,1,"Tuesday, January 29, 2013 10:19:23 UTC",47.8810,-121.6430,1.4,8.10,18,"Washington"
uw,60498112,1,"Tuesday, January 29, 2013 10:18:37 UTC",47.8738,-121.6492,1.7,11.20,19,"Washington"
nc,71930841,0,"Tuesday, January 29, 2013 09:57:21 UTC",38.7900,-122.7617,1.0,1.80,17,"Northern California"
se,012913b,A,"Tuesday, January 29, 2013 09:17:09 UTC",32.9318,-80.1658,1.4,7.60, 3,"South Carolina"
us,c000exci,4,"Tuesday, January 29, 2013 09:03:20 UTC",-24.0590,-179.8282,4.6,505.10,44,"south of the Fiji Islands"
us,c000excc,7,"Tuesday, January 29, 2013 08:57:55 UTC",42.5126,79.7940,4.4,10.00,41,"eastern Kazakhstan"
nc,71930811,0,"Tuesday, January 29, 2013 08:43:16 UTC",38.8313,-122.8017,1.0,2.10,18,"Northern California"
nc,71930806,2,"Tuesday, January 29, 2013 08:35:12 UTC",37.5587,-121.8275,1.1,8.60,19,"San Francisco Bay area, California"
nc,71930801,0,"Tuesday, January 29, 2013 08:25:37 UTC",38.8263,-122.8618,1.0,0.60,14,"Northern California"
ci,15278705,0,"Tuesday, January 29, 2013 08:07:36 UTC",33.9852,-117.1772,1.4,12.40,60,"Greater Los Angeles area, California"
pr,13029003,0,"Tuesday, January 29, 2013 07:26:16 UTC",18.0935,-66.1010,2.8,27.00, 6,"Puerto Rico"
nc,71930756,0,"Tuesday, January 29, 2013 07:15:52 UTC",37.6248,-119.0245,1.4,4.40,14,"Long Valley area, California"
nc,71930751,2,"Tuesday, January 29, 2013 07:14:51 UTC",37.6225,-119.0222,1.5,3.90,32,"Long Valley area, California"
ak,10646435,2,"Tuesday, January 29, 2013 07:07:18 UTC",61.7617,-150.3457,3.6,38.60,58,"Southern Alaska"
ak,10646430,1,"Tuesday, January 29, 2013 06:58:56 UTC",62.1786,-148.2047,1.5,21.20, 6,"Central Alaska"
ak,10646427,1,"Tuesday, January 29, 2013 06:39:41 UTC",61.7533,-148.4034,1.3,14.40, 8,"Southern Alaska"
ak,10646421,1,"Tuesday, January 29, 2013 06:24:40 UTC",62.9237,-150.8532,2.6,105.00,36,"Central Alaska"
ci,15278681,2,"Tuesday, January 29, 2013 06:14:19 UTC",33.1290,-115.6292,1.4,7.80,22,"Southern California"
hv,60460181,2,"Tuesday, January 29, 2013 06:09:35 UTC",19.4745,-155.4553,2.3,10.00,40,"Island of Hawaii, Hawaii"
ak,10646411,1,"Tuesday, January 29, 2013 05:23:33 UTC",63.3623,-151.3227,1.5,8.80, 7,"Central Alaska"
ci,15278673,0,"Tuesday, January 29, 2013 05:04:07 UTC",34.3078,-116.9373,1.0,2.90,20,"Southern California"
nc,71930706,2,"Tuesday, January 29, 2013 05:00:37 UTC",36.3117,-120.8522,1.4,7.40,21,"Central California"
nc,71930701,2,"Tuesday, January 29, 2013 04:56:51 UTC",40.9010,-121.8215,1.8,17.40,23,"Northern California"
ak,10646401,1,"Tuesday, January 29, 2013 04:22:40 UTC",63.5549,-148.1459,1.2,59.00, 4,"Central Alaska"
ak,10646392,1,"Tuesday, January 29, 2013 04:11:48 UTC",60.8362,-151.5596,2.1,35.40,19,"Kenai Peninsula, Alaska"
nc,71930621,2,"Tuesday, January 29, 2013 04:00:27 UTC",38.8242,-122.8397,2.0,0.90,60,"Northern California"
uu,60011727,2,"Tuesday, January 29, 2013 03:53:48 UTC",41.0325,-111.5918,1.1,10.10,10,"Utah"
uw,60498017,3,"Tuesday, January 29, 2013 03:43:41 UTC",47.8845,-121.6498,1.7,8.70,29,"Washington"
pr,13029001,0,"Tuesday, January 29, 2013 03:37:32 UTC",17.9461,-67.1063,1.8,12.00, 3,"Puerto Rico region"
nc,71930611,1,"Tuesday, January 29, 2013 03:35:54 UTC",36.7765,-121.2810,2.3,8.00,49,"Central California"
us,c000ex8v,6,"Tuesday, January 29, 2013 03:31:23 UTC",-15.5454,-72.0774,4.1,99.60,22,"southern Peru"
us,c000ex8s,5,"Tuesday, January 29, 2013 03:16:36 UTC",-0.0603,122.9802,4.9,133.70,57,"Sulawesi, Indonesia"
ak,10646376,2,"Tuesday, January 29, 2013 03:04:26 UTC",51.3487,-175.9797,3.1,26.00,11,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71930591,4,"Tuesday, January 29, 2013 02:57:19 UTC",41.0468,-121.6520,1.7,13.50,12,"Northern California"
ak,10646366,2,"Tuesday, January 29, 2013 02:42:18 UTC",51.3570,-176.0342,3.0,25.90, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15278657,2,"Tuesday, January 29, 2013 02:38:15 UTC",34.0060,-117.1688,1.0,10.60,27,"Greater Los Angeles area, California"
ak,10646359,1,"Tuesday, January 29, 2013 02:25:58 UTC",61.7490,-148.3884,1.0,11.20, 5,"Southern Alaska"
uu,60011717,2,"Tuesday, January 29, 2013 02:00:18 UTC",41.8112,-112.7052,1.2,0.30,20,"Utah"
us,c000ex7y,3,"Tuesday, January 29, 2013 01:48:57 UTC",35.3747,27.2039,4.4,26.60,48,"Dodecanese Islands, Greece"
ak,10646344,1,"Tuesday, January 29, 2013 01:47:03 UTC",61.7548,-148.3010,2.4,0.00,23,"Southern Alaska"
pr,13029002,0,"Tuesday, January 29, 2013 01:31:59 UTC",19.4890,-64.1085,2.6,67.00, 3,"Virgin Islands region"
ci,15278649,0,"Tuesday, January 29, 2013 01:27:08 UTC",33.9750,-116.8508,1.2,24.40,44,"Southern California"
ak,10646328,2,"Tuesday, January 29, 2013 01:05:27 UTC",55.5197,-161.7696,2.7,117.50, 8,"Alaska Peninsula"
us,c000ex75,6,"Tuesday, January 29, 2013 00:56:44 UTC",12.1037,-88.0296,4.6,34.50,158,"near the coast of Nicaragua"
ak,10646318,1,"Tuesday, January 29, 2013 00:44:55 UTC",64.9630,-148.9937,1.5,6.40, 9,"Central Alaska"
ci,15278641,2,"Tuesday, January 29, 2013 00:40:15 UTC",35.0475,-117.6608,1.1,0.00,11,"Southern California"
nc,71930546,1,"Tuesday, January 29, 2013 00:25:24 UTC",38.8443,-122.8267,1.6,2.60,25,"Northern California"
nc,71930541,3,"Tuesday, January 29, 2013 00:23:11 UTC",38.8363,-122.8023,2.0,2.80,71,"Northern California"
ci,15278633,2,"Tuesday, January 29, 2013 00:17:51 UTC",34.5785,-115.6503,1.3,0.00,13,"Southern California"
nc,71930531,0,"Tuesday, January 29, 2013 00:15:28 UTC",36.5552,-121.0747,1.5,6.30, 9,"Central California"
pr,13029000,0,"Tuesday, January 29, 2013 00:02:18 UTC",19.5419,-65.4059,3.3,61.00, 5,"Puerto Rico region"
ak,10646277,1,"Monday, January 28, 2013 23:44:18 UTC",63.3024,-149.4300,2.1,83.20,18,"Central Alaska"
nc,71930511,4,"Monday, January 28, 2013 23:13:29 UTC",38.0595,-118.9462,1.4,7.20,24,"Central California"
nc,71930496,1,"Monday, January 28, 2013 22:57:15 UTC",38.8438,-122.8260,1.7,2.40,32,"Northern California"
