Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71930486,0,"Monday, January 28, 2013 22:25:43 UTC",37.4335,-118.5575,1.3,11.20, 9,"Central California"
uw,60497962,1,"Monday, January 28, 2013 22:14:44 UTC",49.4708,-120.4983,2.3,0.00,13,"British Columbia, Canada"
ci,15278625,0,"Monday, January 28, 2013 22:13:49 UTC",33.2408,-116.4465,1.9,1.90,51,"Southern California"
hv,60460021,1,"Monday, January 28, 2013 21:34:27 UTC",19.3590,-155.4612,1.9,10.10,26,"Island of Hawaii, Hawaii"
uu,60011657,2,"Monday, January 28, 2013 21:33:52 UTC",38.9950,-111.3448,1.3,6.10, 5,"Utah"
us,c000ex0c,6,"Monday, January 28, 2013 21:24:36 UTC",-22.2281,-179.5471,4.8,585.20,206,"south of the Fiji Islands"
ak,10646251,2,"Monday, January 28, 2013 21:13:32 UTC",58.1690,-155.3568,1.0,1.00, 6,"Alaska Peninsula"
ci,15278609,0,"Monday, January 28, 2013 20:37:22 UTC",34.1967,-117.4358,1.9,8.70,101,"Greater Los Angeles area, California"
nc,71930441,1,"Monday, January 28, 2013 20:37:09 UTC",38.8443,-122.8257,1.6,2.40,30,"Northern California"
us,c000ewxc,5,"Monday, January 28, 2013 20:37:09 UTC",42.5443,79.7708,4.6,10.00,29,"eastern Kazakhstan"
us,c000ewx5,8,"Monday, January 28, 2013 20:29:14 UTC",37.5004,143.6056,4.7,33.40,28,"off the east coast of Honshu, Japan"
us,c000ewwg,6,"Monday, January 28, 2013 20:20:53 UTC",9.0722,-82.8662,4.8,29.80,66,"Panama-Costa Rica border region"
us,c000ewvl,5,"Monday, January 28, 2013 19:47:38 UTC",42.5072,79.5950,4.6,9.90,42,"eastern Kazakhstan"
ci,15278585,2,"Monday, January 28, 2013 19:40:44 UTC",33.7082,-116.7530,1.2,18.30,37,"Southern California"
us,c000ewv1,6,"Monday, January 28, 2013 19:38:20 UTC",38.3793,46.8492,4.5,10.00,29,"northwestern Iran"
nc,71930431,0,"Monday, January 28, 2013 19:36:21 UTC",36.5760,-121.1760,1.6,2.30, 7,"Central California"
us,c000ewur,7,"Monday, January 28, 2013 19:33:15 UTC",-6.8336,129.0056,4.7,151.40,14,"Banda Sea"
nc,71930421,2,"Monday, January 28, 2013 19:27:03 UTC",36.5800,-121.4378,1.1,0.00,10,"Central California"
nc,71930411,0,"Monday, January 28, 2013 19:16:36 UTC",38.8130,-122.7948,1.1,2.70,21,"Northern California"
us,c000ewuh,4,"Monday, January 28, 2013 19:11:54 UTC",42.7726,79.3032,4.5,10.00,19,"eastern Kazakhstan"
nc,71930406,0,"Monday, January 28, 2013 18:53:16 UTC",38.8212,-122.7620,1.0,2.10,15,"Northern California"
ak,10646198,1,"Monday, January 28, 2013 18:30:09 UTC",63.2782,-145.2255,1.5,0.10, 7,"Central Alaska"
ci,15278553,2,"Monday, January 28, 2013 18:27:39 UTC",35.0445,-118.3747,1.2,0.00, 9,"Southern California"
ci,15278537,2,"Monday, January 28, 2013 17:51:18 UTC",33.4763,-116.7348,1.2,10.60,55,"Southern California"
nc,71930366,0,"Monday, January 28, 2013 17:46:07 UTC",38.8382,-122.7753,1.0,2.40,10,"Northern California"
nc,71930361,0,"Monday, January 28, 2013 17:38:37 UTC",38.8342,-122.7760,1.2,2.40,22,"Northern California"
us,c000ewrz,6,"Monday, January 28, 2013 17:31:46 UTC",42.7494,79.5263,4.4,10.10,20,"eastern Kazakhstan"
nc,71930351,0,"Monday, January 28, 2013 17:03:21 UTC",38.7875,-122.7625,1.3,1.50,23,"Northern California"
nc,71930326,3,"Monday, January 28, 2013 16:40:48 UTC",38.7910,-122.7262,2.4,2.10,62,"Northern California"
us,c000ewqq,9,"Monday, January 28, 2013 16:38:53 UTC",42.5977,79.6986,6.0,15.00,567,"eastern Kazakhstan"
nc,71930311,4,"Monday, January 28, 2013 16:11:06 UTC",38.0600,-118.9490,1.6,10.00,38,"Central California"
ak,10646135,1,"Monday, January 28, 2013 16:00:22 UTC",63.0996,-150.4636,1.8,29.60, 6,"Central Alaska"
hv,60459906,1,"Monday, January 28, 2013 15:49:42 UTC",19.9345,-155.6818,2.4,10.20,44,"Island of Hawaii, Hawaii"
ak,10646125,1,"Monday, January 28, 2013 15:12:50 UTC",62.4801,-151.2990,2.5,104.70,35,"Central Alaska"
ak,10646121,2,"Monday, January 28, 2013 14:59:36 UTC",54.3450,-161.8890,2.5,13.10, 8,"Alaska Peninsula"
ak,10646118,2,"Monday, January 28, 2013 14:42:11 UTC",54.3572,-161.9385,2.7,22.40, 9,"Alaska Peninsula"
nc,71930271,1,"Monday, January 28, 2013 13:22:19 UTC",38.8168,-122.8118,1.0,3.40,23,"Northern California"
nc,71930266,2,"Monday, January 28, 2013 13:14:36 UTC",41.3120,-122.1602,1.1,5.40,11,"Northern California"
us,c000ewn4,5,"Monday, January 28, 2013 12:40:39 UTC",52.6482,-169.3915,3.9,16.90,49,"Fox Islands, Aleutian Islands, Alaska"
nc,71930246,2,"Monday, January 28, 2013 12:02:29 UTC",37.6225,-119.0183,1.0,3.70,28,"Long Valley area, California"
us,c000ewmq,7,"Monday, January 28, 2013 12:00:17 UTC",-11.0701,165.3682,4.9,35.00,116,"Santa Cruz Islands"
ak,10646097,1,"Monday, January 28, 2013 11:56:01 UTC",64.9840,-149.0037,1.3,1.60,11,"Central Alaska"
nc,71930196,2,"Monday, January 28, 2013 11:23:06 UTC",37.6350,-119.0253,1.2,2.80, 7,"Long Valley area, California"
nc,71930191,1,"Monday, January 28, 2013 11:20:01 UTC",38.8385,-122.8280,1.4,2.60,29,"Northern California"
ci,15278513,0,"Monday, January 28, 2013 10:27:40 UTC",32.7375,-116.0385,1.4,9.90,30,"Southern California"
uw,60497842,1,"Monday, January 28, 2013 10:05:17 UTC",47.0022,-120.5753,1.6,1.30,15,"Washington"
ak,10646080,1,"Monday, January 28, 2013 09:59:42 UTC",62.9250,-149.7558,1.4,46.40, 6,"Central Alaska"
nc,71930131,1,"Monday, January 28, 2013 09:48:10 UTC",38.7877,-122.7620,1.4,1.60,22,"Northern California"
nc,71930136,2,"Monday, January 28, 2013 09:47:36 UTC",37.6220,-119.0193,1.4,3.70, 8,"Long Valley area, California"
nc,71930126,2,"Monday, January 28, 2013 09:38:07 UTC",37.6437,-119.0565,1.1,0.30, 4,"Central California"
ak,10646070,1,"Monday, January 28, 2013 09:06:05 UTC",61.2913,-152.2533,1.3,9.00,10,"Southern Alaska"
ak,10646064,1,"Monday, January 28, 2013 08:30:58 UTC",61.0681,-146.6138,1.9,11.40,12,"Southern Alaska"
ak,10646057,1,"Monday, January 28, 2013 08:18:39 UTC",64.4993,-147.2835,1.3,1.20,12,"Central Alaska"
ci,15278489,0,"Monday, January 28, 2013 08:17:55 UTC",33.9895,-116.8542,1.3,12.50,61,"Southern California"
pr,13028002,0,"Monday, January 28, 2013 08:07:31 UTC",18.2830,-65.0398,1.5,36.00, 3,"Virgin Islands region"
ci,15278481,0,"Monday, January 28, 2013 07:37:43 UTC",33.1677,-116.1125,2.3,8.90,133,"Southern California"
ci,15278473,0,"Monday, January 28, 2013 06:16:54 UTC",36.0293,-117.7787,1.7,0.30,19,"Central California"
nc,71930076,1,"Monday, January 28, 2013 06:03:25 UTC",38.7870,-122.7285,1.8,1.80,27,"Northern California"
ak,10646043,2,"Monday, January 28, 2013 05:45:09 UTC",60.0814,-141.1614,1.8,13.40, 5,"Southern Alaska"
ci,15278465,2,"Monday, January 28, 2013 05:37:07 UTC",36.4210,-117.8378,1.9,14.20,12,"Central California"
ak,10646034,1,"Monday, January 28, 2013 05:25:25 UTC",62.9513,-150.9639,1.9,99.80,19,"Central Alaska"
nc,71930056,0,"Monday, January 28, 2013 04:39:55 UTC",38.2898,-122.1213,1.8,13.80, 9,"Northern California"
pr,13028001,0,"Monday, January 28, 2013 04:39:26 UTC",18.7945,-64.3310,2.4,44.00, 5,"Virgin Islands region"
us,c000ewkv,4,"Monday, January 28, 2013 04:02:57 UTC",-4.9067,129.4415,4.8,231.40,27,"Banda Sea"
hv,60459846,1,"Monday, January 28, 2013 03:44:46 UTC",19.1222,-155.4728,2.0,31.30,23,"Island of Hawaii, Hawaii"
ak,10646019,1,"Monday, January 28, 2013 03:27:22 UTC",61.0271,-146.5862,1.9,16.80,16,"Southern Alaska"
nc,71930016,2,"Monday, January 28, 2013 03:24:18 UTC",37.5085,-119.0438,1.2,2.50, 9,"Central California"
ci,15278449,2,"Monday, January 28, 2013 03:23:54 UTC",33.8497,-117.7873,2.4,8.20,119,"Greater Los Angeles area, California"
nc,71929981,2,"Monday, January 28, 2013 02:53:00 UTC",37.5342,-119.0158,1.1,8.60, 9,"Central California"
nc,71929941,3,"Monday, January 28, 2013 02:26:43 UTC",38.8267,-122.8498,2.6,1.50,71,"Northern California"
ak,10646006,1,"Monday, January 28, 2013 02:20:07 UTC",58.2302,-154.7864,2.1,21.00, 9,"Alaska Peninsula"
ak,10646004,1,"Monday, January 28, 2013 02:17:54 UTC",58.2179,-155.0949,1.3,1.30, 6,"Alaska Peninsula"
nn,00401185,9,"Monday, January 28, 2013 02:15:59 UTC",37.0840,-117.9822,1.5,0.00, 6,"Central California"
pr,13028000,0,"Monday, January 28, 2013 02:06:37 UTC",18.2513,-66.9815,2.1,24.00, 5,"Puerto Rico"
ak,10645999,1,"Monday, January 28, 2013 00:58:15 UTC",64.7494,-148.0666,1.5,19.90, 8,"Central Alaska"
nm,012813a,A,"Monday, January 28, 2013 00:35:12 UTC",36.5311,-89.6147,1.3,9.50,15,"southeastern Missouri"
nc,71929911,2,"Monday, January 28, 2013 00:29:43 UTC",36.3513,-120.9340,1.1,5.30,11,"Central California"
ci,15278425,2,"Monday, January 28, 2013 00:03:50 UTC",35.0327,-117.6745,1.6,0.00,12,"Southern California"
ci,15278417,2,"Sunday, January 27, 2013 23:49:53 UTC",34.2395,-117.5065,1.9,6.90,79,"Southern California"
ak,10645989,1,"Sunday, January 27, 2013 23:49:46 UTC",62.1542,-148.7326,1.3,9.50,13,"Central Alaska"
nc,71929896,0,"Sunday, January 27, 2013 23:48:25 UTC",37.6455,-122.0567,1.7,4.70,12,"San Francisco Bay area, California"
nc,71929866,0,"Sunday, January 27, 2013 22:35:21 UTC",36.3498,-120.9348,1.9,5.30,17,"Central California"
nc,71929851,2,"Sunday, January 27, 2013 22:10:22 UTC",37.5362,-118.8223,1.2,7.10,26,"Central California"
uw,60497797,2,"Sunday, January 27, 2013 22:08:16 UTC",49.4198,-120.5047,2.2,0.00, 9,"British Columbia, Canada"
ak,10645847,1,"Sunday, January 27, 2013 22:03:45 UTC",60.9682,-151.2993,1.7,32.60,15,"Kenai Peninsula, Alaska"
us,c000ewtb,9,"Sunday, January 27, 2013 21:45:49 UTC",13.2865,144.7219,4.5,47.70,20,"Guam region"
ak,10645841,1,"Sunday, January 27, 2013 21:45:04 UTC",64.7840,-150.7649,1.3,18.20, 4,"Central Alaska"
ak,10645837,2,"Sunday, January 27, 2013 21:39:49 UTC",60.5986,-152.4361,1.7,104.10,12,"Southern Alaska"
ci,15278401,2,"Sunday, January 27, 2013 21:30:04 UTC",34.3458,-118.4897,1.9,4.30,52,"Greater Los Angeles area, California"
nc,71929841,0,"Sunday, January 27, 2013 21:23:57 UTC",38.8342,-122.8125,1.1,2.50,21,"Northern California"
ci,15278393,2,"Sunday, January 27, 2013 21:03:36 UTC",33.1755,-115.6748,1.2,5.70,19,"Southern California"
nc,71929831,0,"Sunday, January 27, 2013 21:03:08 UTC",38.7435,-122.7332,1.0,0.40, 7,"Northern California"
us,c000ewhq,9,"Sunday, January 27, 2013 20:57:35 UTC",27.2142,128.3620,5.2,57.90,88,"Ryukyu Islands, Japan"
ak,10645815,1,"Sunday, January 27, 2013 20:44:29 UTC",61.7611,-149.7074,1.6,35.10,14,"Southern Alaska"
us,c000ewha,7,"Sunday, January 27, 2013 20:27:22 UTC",14.1805,-91.7112,4.5,67.00,44,"Guatemala"
nn,00401057,9,"Sunday, January 27, 2013 20:22:49 UTC",38.1563,-118.0017,2.2,7.40,14,"Nevada"
nn,00401055,9,"Sunday, January 27, 2013 20:08:39 UTC",38.1624,-117.9929,2.1,10.60,11,"Nevada"
nc,71929806,0,"Sunday, January 27, 2013 19:54:39 UTC",36.8247,-121.2803,1.1,7.50,10,"Central California"
ci,15278361,2,"Sunday, January 27, 2013 19:52:27 UTC",34.0397,-117.2208,1.3,15.50,18,"Greater Los Angeles area, California"
nc,71929801,2,"Sunday, January 27, 2013 19:43:31 UTC",37.5540,-122.4303,1.1,11.10,16,"San Francisco Bay area, California"
ci,15278353,2,"Sunday, January 27, 2013 19:42:14 UTC",33.1955,-115.6453,1.3,5.40,13,"Southern California"
nc,71929796,2,"Sunday, January 27, 2013 19:38:04 UTC",38.7813,-122.3778,1.8,10.10,48,"Northern California"
us,c000ewg6,6,"Sunday, January 27, 2013 19:32:41 UTC",-34.7329,-108.9744,5.2,14.80,159,"southern East Pacific Rise"
ak,10645772,1,"Sunday, January 27, 2013 19:26:06 UTC",63.7034,-145.7191,1.5,9.20, 5,"Central Alaska"
ci,15278337,2,"Sunday, January 27, 2013 19:19:14 UTC",33.1667,-115.6237,1.0,2.00,21,"Southern California"
ci,15278329,2,"Sunday, January 27, 2013 19:14:08 UTC",33.7832,-116.1658,1.0,7.70,20,"Southern California"
ci,15278321,2,"Sunday, January 27, 2013 19:11:29 UTC",34.0225,-117.2095,1.1,7.00,16,"Greater Los Angeles area, California"
nn,00401050,9,"Sunday, January 27, 2013 19:04:03 UTC",38.1313,-118.2648,2.1,13.90,19,"Nevada"
us,c000ewfr,8,"Sunday, January 27, 2013 18:41:48 UTC",36.5255,140.5339,5.1,70.90,117,"near the east coast of Honshu, Japan"
nc,71929751,0,"Sunday, January 27, 2013 18:14:04 UTC",36.5580,-121.0658,1.3,7.00, 6,"Central California"
se,012713a,A,"Sunday, January 27, 2013 18:10:24 UTC",35.2656,-84.3268,1.5,18.40, 9,"eastern Tennessee"
ak,10645753,1,"Sunday, January 27, 2013 18:03:44 UTC",62.1205,-148.1189,1.3,29.90, 9,"Central Alaska"
ci,15278297,2,"Sunday, January 27, 2013 18:03:05 UTC",33.5198,-116.4220,2.0,10.30,109,"Southern California"
nc,71929741,0,"Sunday, January 27, 2013 18:02:25 UTC",38.8393,-122.7990,1.0,1.80,11,"Northern California"
pr,13027004,0,"Sunday, January 27, 2013 17:58:22 UTC",18.8010,-64.1484,2.2,39.00, 5,"Virgin Islands region"
ci,15278281,0,"Sunday, January 27, 2013 17:25:55 UTC",32.6498,-115.9317,1.6,10.60,20,"Southern California"
nn,00401044,9,"Sunday, January 27, 2013 17:10:36 UTC",38.1593,-118.0120,2.1,5.40,15,"Nevada"
nc,71929701,3,"Sunday, January 27, 2013 17:09:48 UTC",39.5483,-121.9962,1.8,13.40,25,"Northern California"
ci,15278249,2,"Sunday, January 27, 2013 17:02:54 UTC",34.0315,-116.8453,1.2,23.50,47,"Southern California"
ci,15278257,2,"Sunday, January 27, 2013 17:02:54 UTC",34.0280,-116.8440,1.2,23.40,51,"Southern California"
ci,15278241,4,"Sunday, January 27, 2013 16:49:52 UTC",34.0198,-117.2262,1.1,12.60,46,"Greater Los Angeles area, California"
ak,10645730,1,"Sunday, January 27, 2013 16:35:27 UTC",60.3410,-152.2231,2.0,81.90, 8,"Southern Alaska"
uu,60011582,2,"Sunday, January 27, 2013 16:12:00 UTC",39.6335,-110.4197,1.6,3.40, 7,"Utah"
nc,71929676,0,"Sunday, January 27, 2013 16:11:46 UTC",38.1902,-122.1763,1.7,3.70, 7,"San Francisco Bay area, California"
ci,15278225,2,"Sunday, January 27, 2013 15:48:45 UTC",34.0182,-117.2265,1.0,11.90,25,"Greater Los Angeles area, California"
uw,60497767,2,"Sunday, January 27, 2013 15:32:27 UTC",46.5273,-122.3177,1.1,21.90,39,"Washington"
uw,60497762,1,"Sunday, January 27, 2013 15:26:25 UTC",43.7848,-121.3387,1.0,8.10,11,"Oregon"
nc,71929671,1,"Sunday, January 27, 2013 15:25:48 UTC",38.8090,-122.8118,1.9,2.20,37,"Northern California"
ak,10645716,1,"Sunday, January 27, 2013 15:23:26 UTC",63.4085,-148.9017,1.8,0.00, 9,"Central Alaska"
ci,15278209,0,"Sunday, January 27, 2013 14:53:02 UTC",34.0192,-117.2315,2.2,11.90,127,"Greater Los Angeles area, California"
us,2013kxau,5,"Sunday, January 27, 2013 14:34:33 UTC",-35.5968,-108.7381,4.7,10.00,27,"southern East Pacific Rise"
us,2013kxat,4,"Sunday, January 27, 2013 14:24:12 UTC",4.9527,95.8501,4.6,45.60,34,"northern Sumatra, Indonesia"
ak,10645705,1,"Sunday, January 27, 2013 14:18:34 UTC",59.8742,-152.7613,2.4,107.10,22,"Southern Alaska"
ci,15278193,0,"Sunday, January 27, 2013 14:09:16 UTC",35.4500,-118.3570,1.5,4.50,23,"Central California"
nc,71929641,1,"Sunday, January 27, 2013 14:02:22 UTC",38.8160,-122.8142,1.8,1.30,27,"Northern California"
us,c000ewe6,C,"Sunday, January 27, 2013 13:50:37 UTC",-35.1633,-108.5225,5.1,10.00,240,"southern East Pacific Rise"
nc,71929626,0,"Sunday, January 27, 2013 13:31:54 UTC",38.8118,-122.8125,1.0,1.70,20,"Northern California"
nc,71929616,2,"Sunday, January 27, 2013 13:18:30 UTC",36.5105,-121.0380,1.0,7.70,15,"Central California"
ci,15278185,2,"Sunday, January 27, 2013 13:07:22 UTC",32.1668,-115.2207,2.3,2.60,17,"Baja California, Mexico"
ak,10645688,2,"Sunday, January 27, 2013 12:51:33 UTC",59.4037,-152.8335,2.3,70.70,18,"Southern Alaska"
ak,10645683,1,"Sunday, January 27, 2013 12:39:15 UTC",63.6111,-147.5207,1.7,0.10,12,"Central Alaska"
nc,71929596,2,"Sunday, January 27, 2013 12:35:59 UTC",38.8342,-122.7750,1.1,2.50,23,"Northern California"
pr,13027003,0,"Sunday, January 27, 2013 12:34:30 UTC",19.0702,-63.7918,3.2,9.00, 8,"Virgin Islands region"
nc,71929591,0,"Sunday, January 27, 2013 12:21:35 UTC",38.8285,-122.8515,1.0,2.60,23,"Northern California"
ak,10645675,1,"Sunday, January 27, 2013 12:07:37 UTC",62.1572,-149.7106,1.5,24.50, 9,"Central Alaska"
ak,10645671,1,"Sunday, January 27, 2013 12:00:08 UTC",60.3004,-151.1913,1.8,8.50,12,"Kenai Peninsula, Alaska"
pr,13027002,0,"Sunday, January 27, 2013 11:47:25 UTC",17.9853,-65.3796,2.5,17.00,11,"Puerto Rico region"
us,c000ewdp,8,"Sunday, January 27, 2013 11:39:12 UTC",32.3908,141.8446,4.6,34.40,67,"Izu Islands, Japan region"
ak,10645665,1,"Sunday, January 27, 2013 11:35:14 UTC",59.9111,-140.1559,2.4,10.30,17,"Southeastern Alaska"
ak,10645662,2,"Sunday, January 27, 2013 11:23:25 UTC",52.6818,-169.5304,3.7,5.40,15,"Fox Islands, Aleutian Islands, Alaska"
pr,13027001,0,"Sunday, January 27, 2013 11:06:44 UTC",18.0860,-66.0725,3.0,22.00,22,"Puerto Rico"
ak,10645659,1,"Sunday, January 27, 2013 10:56:57 UTC",63.1523,-151.3558,1.6,5.00, 7,"Central Alaska"
nc,71929581,2,"Sunday, January 27, 2013 10:51:44 UTC",36.0133,-120.9625,1.6,6.50,41,"Central California"
nc,71929576,2,"Sunday, January 27, 2013 10:32:54 UTC",36.2892,-120.8388,1.5,8.60,34,"Central California"
ak,10645652,1,"Sunday, January 27, 2013 10:18:10 UTC",60.0636,-141.1076,2.0,12.10, 5,"Southern Alaska"
ak,10645646,1,"Sunday, January 27, 2013 10:17:59 UTC",59.9279,-151.3173,1.7,70.00, 8,"Kenai Peninsula, Alaska"
ak,10645655,2,"Sunday, January 27, 2013 10:17:58 UTC",59.7946,-151.4453,2.0,79.10,17,"Kenai Peninsula, Alaska"
us,c000ewcv,A,"Sunday, January 27, 2013 09:59:27 UTC",-16.1052,-173.2403,5.7,8.60,512,"Tonga"
nc,71929561,0,"Sunday, January 27, 2013 09:55:01 UTC",38.8432,-122.8318,1.2,2.30,19,"Northern California"
ci,15278169,2,"Sunday, January 27, 2013 09:31:24 UTC",34.0232,-117.2253,1.0,12.10,14,"Greater Los Angeles area, California"
ak,10645632,1,"Sunday, January 27, 2013 09:19:59 UTC",60.2673,-148.7615,1.9,12.30, 7,"Kenai Peninsula, Alaska"
nc,71929556,2,"Sunday, January 27, 2013 09:14:59 UTC",38.5153,-122.2952,1.8,1.30,32,"Northern California"
nc,71929551,3,"Sunday, January 27, 2013 08:59:09 UTC",39.6343,-121.9843,1.3,15.30,14,"Northern California"
nn,00401026,9,"Sunday, January 27, 2013 08:53:18 UTC",38.6459,-118.3146,1.0,4.00, 4,"Nevada"
ak,10645628,2,"Sunday, January 27, 2013 08:48:54 UTC",51.5696,-178.6676,2.1,25.80,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10645794,2,"Sunday, January 27, 2013 08:46:36 UTC",52.2451,-175.4162,3.2,230.80,10,"Andreanof Islands, Aleutian Islands, Alaska"
uu,60011562,4,"Sunday, January 27, 2013 08:45:51 UTC",44.4425,-111.0167,1.3,6.40,14,"Yellowstone National Park, Wyoming"
ak,10645621,1,"Sunday, January 27, 2013 08:34:04 UTC",62.2322,-149.8804,1.7,16.40, 9,"Central Alaska"
ci,15278145,0,"Sunday, January 27, 2013 08:25:05 UTC",32.7878,-116.6390,1.7,18.00,48,"Southern California"
nn,00401024,9,"Sunday, January 27, 2013 08:22:06 UTC",39.5374,-119.9683,1.5,6.20,19,"Nevada"
nc,71929541,1,"Sunday, January 27, 2013 08:21:46 UTC",38.5257,-122.6568,1.7,6.40,14,"Northern California"
ak,10645612,1,"Sunday, January 27, 2013 08:03:59 UTC",62.9425,-148.8327,1.3,9.10, 5,"Central Alaska"
us,c000ewc9,5,"Sunday, January 27, 2013 07:46:59 UTC",-58.8344,-25.2205,4.7,35.00,18,"South Sandwich Islands region"
us,c000ewc1,6,"Sunday, January 27, 2013 07:24:33 UTC",-58.7570,-25.2290,4.7,35.00,18,"South Sandwich Islands region"
ci,15278137,0,"Sunday, January 27, 2013 07:21:36 UTC",32.8990,-116.2652,1.7,7.10,70,"Southern California"
hv,60459571,2,"Sunday, January 27, 2013 06:55:59 UTC",19.3362,-155.1438,2.3,4.80,39,"Island of Hawaii, Hawaii"
nn,00401021,9,"Sunday, January 27, 2013 06:45:49 UTC",38.5242,-118.1547,1.4,8.50, 8,"Nevada"
ci,15278121,0,"Sunday, January 27, 2013 06:40:21 UTC",34.0218,-117.2275,1.2,12.30,43,"Greater Los Angeles area, California"
ak,10645597,1,"Sunday, January 27, 2013 06:28:14 UTC",62.0949,-150.5379,1.6,14.50,11,"Central Alaska"
nc,71929516,1,"Sunday, January 27, 2013 06:20:29 UTC",38.8255,-122.8258,1.3,2.70,26,"Northern California"
nn,00401018,9,"Sunday, January 27, 2013 06:16:16 UTC",38.5383,-118.1550,1.6,5.40,13,"Nevada"
nc,71929511,0,"Sunday, January 27, 2013 06:14:37 UTC",38.8188,-122.7627,1.2,2.10,24,"Northern California"
ci,15278097,0,"Sunday, January 27, 2013 06:14:36 UTC",34.0190,-117.2298,1.7,12.30,120,"Greater Los Angeles area, California"
